source	destination	count
10740	10180	3
11100	10180	234
12060	10180	117
12420	10180	348
12580	10180	8
13140	10180	95
13820	10180	78
14020	10180	10
14260	10180	21
14540	10180	5
15180	10180	28
16700	10180	29
16740	10180	52
16940	10180	46
16980	10180	30
17460	10180	5
17780	10180	259
17820	10180	68
17980	10180	5
18580	10180	2
18880	10180	23
19100	10180	3336
19740	10180	134
19820	10180	60
21340	10180	235
21420	10180	26
21500	10180	5
21820	10180	15
22180	10180	90
22220	10180	20
22380	10180	48
22520	10180	96
23060	10180	16
24860	10180	6
26300	10180	2
26420	10180	761
27260	10180	52
28660	10180	216
29020	10180	11
29340	10180	17
29700	10180	11
29740	10180	20
29820	10180	39
29940	10180	9
30020	10180	7
30780	10180	63
30860	10180	8
30980	10180	36
31080	10180	78
31180	10180	371
32580	10180	45
32820	10180	12
33100	10180	114
33260	10180	146
33740	10180	30
33860	10180	49
34900	10180	19
34980	10180	9
35620	10180	99
36100	10180	42
36220	10180	124
36260	10180	89
36420	10180	103
36540	10180	119
37100	10180	24
37340	10180	33
37860	10180	71
37980	10180	23
38060	10180	159
39140	10180	8
39660	10180	81
39820	10180	10
39900	10180	5
40140	10180	191
41180	10180	56
41420	10180	11
41620	10180	27
41660	10180	259
41700	10180	540
41740	10180	21
41860	10180	16
41940	10180	32
42020	10180	39
42100	10180	7
43300	10180	47
43340	10180	74
43620	10180	32
44300	10180	30
45220	10180	104
45300	10180	22
45500	10180	30
45940	10180	5
46140	10180	35
46340	10180	257
46660	10180	14
47260	10180	23
47380	10180	116
47900	10180	55
47940	10180	10
48620	10180	53
48660	10180	347
99999	10180	3883
AFR--	10180	134
ASI--	10180	504
CAM--	10180	56
EUR--	10180	264
NAM--	10180	33
SAM--	10180	49
10900	10380	61
11640	10380	290
12060	10380	29
12940	10380	25
14460	10380	26
14860	10380	16
15180	10380	22
16980	10380	26
19780	10380	20
20100	10380	41
24140	10380	28
24300	10380	102
24860	10380	19
25020	10380	29
26420	10380	30
26900	10380	19
28140	10380	15
30140	10380	17
31080	10380	38
31700	10380	15
32420	10380	102
33100	10380	21
33340	10380	21
35620	10380	564
36420	10380	5
36740	10380	196
37980	10380	143
38660	10380	140
39300	10380	35
39740	10380	22
40380	10380	36
41500	10380	22
41900	10380	74
41980	10380	1086
45940	10380	26
46060	10380	60
46140	10380	5
47220	10380	16
47900	10380	50
49340	10380	106
99999	10380	364
ASI--	10380	19
CAM--	10380	10
CAR--	10380	45
EUR--	10380	88
SAM--	10380	7
10500	10420	8
10540	10420	68
10580	10420	6
10900	10420	15
11020	10420	28
11260	10420	38
12020	10420	10
12060	10420	227
12220	10420	50
12260	10420	24
12420	10420	31
12580	10420	105
12940	10420	47
13220	10420	3
13820	10420	33
13980	10420	8
14460	10420	379
14500	10420	3
14860	10420	46
15380	10420	159
15680	10420	20
15940	10420	3688
15980	10420	15
16060	10420	19
16620	10420	126
16740	10420	9
16980	10420	387
17140	10420	491
17420	10420	10
17460	10420	9270
17820	10420	90
17900	10420	48
18140	10420	1237
19100	10420	98
19380	10420	531
19660	10420	54
19820	10420	227
20100	10420	11
20700	10420	14
21500	10420	235
22020	10420	21
22180	10420	31
22380	10420	10
22660	10420	14
23060	10420	26
24340	10420	13
24660	10420	1
25180	10420	36
25420	10420	47
25540	10420	27
25860	10420	15
26140	10420	9
26420	10420	72
26580	10420	34
26900	10420	137
27100	10420	12
27260	10420	14
27340	10420	37
28020	10420	120
28140	10420	16
29460	10420	10
29540	10420	4
29620	10420	18
29820	10420	78
30460	10420	6
30620	10420	31
31080	10420	138
31140	10420	26
31540	10420	67
31900	10420	163
33100	10420	215
33220	10420	11
33340	10420	5
33460	10420	5
33780	10420	2
34060	10420	27
34820	10420	11
34980	10420	16
35380	10420	28
